物品名,保管場所,カテゴリ,状態,備考
6305,旧工場１F ダンボール⑥,K,,"50x2400
旧工場の部屋の中に300/1200のポリとメラミンあり"
508K,旧工場1Fダンボール⑧,TJY,,"940x1850
"
10186K(91),旧工場１F　ダンボール③,LJ,,"
570x1500
"
2063,ダンボール9,TJ,,"230x1850
250x1850
345x1480
135x1850
"
6306KN,旧工場１F　ダンボール②,K,,860/2440
887KT,ダンボール10,,,"480/1850
"
2010,ダンボール10,,,380/2440
12010,ダンボール10,JC,,220/2440
6303KN,ダンボール10,K,,"240/2070
430/2440
400/1230"
802k,ダンボール10,LJ,,"620/2440
595/2440"
6624KN,ダンボール10,K,,720/1850
10185K,ダンボール10,LJ,,985/2440
2774KG,ダンボール10,AI,廃番,"390/2450
4X8 3枚
"
2064K(98),旧工場１F　ダンボール②,TJY,,"270*1850 ?
110*2440"
2567KM,,AN,廃番,
587,工場2F,TJ,,400x1850
467K,,TJ,廃番,"560x1280,
930x1220"
2056,工場2F,TJY,,490-1850
2774,旧工場窓下,JI,廃番,330x1850
2012,旧工場１F　ダンボール①,TJY,廃番品番変更,760-1850
3033,旧工場１F ダンボール⑥,ｗ,廃番,"465＊2450
"
935KG,,SAI,26年3月廃番予定,"8／30使用
"
531KS98,旧工場１F　ダンボール②,JC,廃番,"345*1850
320*1080
"
519K(98）,工場1F,TJ,26年3月廃番予定,"580ｘ290x2枚
420ｘ460"
1750C,工場1F,TJ,検索結果ヒットなし不明,375x1800
1550,,JC,廃番,530x1850
6632kn,工場1F,K,廃番,300/940
2213K(67),旧工場１F　ダンボール③,JC,廃番,
10061,,TJ,廃番,"
930x1230"
10303K(A9),旧工場１F　ダンボール③,CN,廃番,"330/2450
390/2450
830/705"
15011,旧工場　１Fダンボール⑦,TJW,廃番,"280-2440
900-1230
"
6306,旧工場１F　ダンボール②,TK,,1010-510
10018k(98),ダンボール9,LJ,,"250/1840
100/2450"
2052K(16),ダンボール9,TJY,,"210-1850
665/2440
920/1850
元ダンボール1"
18335,ダンボール9,TJY,,510-1850
12001,ダンボール9,TJY,,400-1850
18100K,ダンボール9,TJY,,610-2450
3538TX,,BWX,IBIDEN,"580x1850
イビ"
256,,JI,760x2450,廃番
5657,,BYX,IBIDEN,"810x1850,620x1850
イビ廃番"
5748,,BYX,,"510x1850
イビ"
356,旧工場１F　ダンボール①,A,,"620/1210
廃番"
6207KN,旧工場1Fダンボール⑧,K,,150-1850
4307KG,旧工場1Fダンボール⑧,SAL,,420-1340
2001,旧工場１F　ダンボール②,TJY,620x1855,
10054,旧工場１F　ダンボール②,TJ,,230-2450
6206KN,旧工場1Fダンボール⑧,K,,"490-1850
"
509,旧工場1Fダンボール⑧,TJ,使用中,"940-810
400-810"
10122k(74),旧工場１F ダンボール⑥,TJ,使用中,"260-1280
160-1390



"
6116KN,旧工場1Fダンボール⑧,K,使用中,85-1850
6203KN,旧工場1Fダンボール⑧,K,,850-2440
10181K(91),旧工場1Fダンボール⑧,JI,使用中,660-2440
2555K,旧工場1Fダンボール⑧,JI,使用中,390-2440
2011K(98),旧工場1Fダンボール⑧,TJY,使用中,340-2440
404,旧工場窓下,TJY,,430x1850
421K,旧工場窓下,TJY,940x1160,
10195,旧工場窓下,JC,520x1850,
1811KM,旧工場窓下,SAL,,570/1400
6400KT89,工場1F,TKJ,,"940-1300
920-1850
黒のダンボール"
3660,旧工場窓下,,,"イビ
730-820
820-1220
"
3662AP,旧工場窓下,BC,,"イビ
320-2440 2枚
330-1220
800-1600
440-1270"
6003海賊ポリ3x7,,,,
6006海賊3x7,,,,海賊ポリ3-7
6115KH91,旧工場１F　ダンボール①,KJ,,160-2340
6608KN,,K,,"685x940
630/1850"
6006,旧工場１F ダンボール⑥,K,,"280/1230
1000/2400 使用中"
6003KN,2Fベルーナ,K,,"700/1850
1100/2400 使用中"
6003KH91,旧工場１F ダンボール⑥,K,,"450-1200
240/1810
"
6400K,黒ダンボール,TK,,"7200/2400
500/2400
315/2400
270/1940
260/2000"
5770D,工場1F,VMYX,,"330/2440
4x8 1枚　旧工場増設部屋の窓下
イビ"
10318K(83),工場2F,JC,,1570/1230
6004KN,工場2F,K,,"530/2440
525/2440
440/600
"
